volume_ml,adc_value,measurement_num,voltage,pressure_kpa,pressure_predicted,residual
1,875,1,0.7051282051282051,91.89173789173789,88.2791086691087,3.612629222629195
1,869,2,0.7002930402930403,91.15571835571836,88.2791086691087,2.876609686609669
1,883,3,0.7115750915750916,92.87309727309729,88.2791086691087,4.593988603988592
1,883,4,0.7115750915750916,92.87309727309729,88.2791086691087,4.593988603988592
1,834,5,0.6720879120879121,86.86227106227106,88.2791086691087,-1.4168376068376318
1,871,6,0.7019047619047618,91.40105820105819,88.2791086691087,3.1219495319494968
1,863,7,0.6954578754578754,90.41969881969881,88.2791086691087,2.140590150590114
1,875,8,0.7051282051282051,91.89173789173789,88.2791086691087,3.612629222629195
1,868,9,0.6994871794871794,91.03304843304842,88.2791086691087,2.7539397639397265
1,876,10,0.7059340659340658,92.0144078144078,88.2791086691087,3.735299145299109
5,1463,1,1.1789743589743589,164.02165242165242,174.8472730972731,-10.825620675620684
5,1470,2,1.1846153846153846,164.8803418803419,174.8472730972731,-9.966931216931215
5,1519,3,1.224102564102564,170.89116809116808,174.8472730972731,-3.9561050061050196
5,1470,4,1.1846153846153846,164.8803418803419,174.8472730972731,-9.966931216931215
5,1473,5,1.187032967032967,165.24835164835164,174.8472730972731,-9.598921448921459
5,1474,6,1.1878388278388277,165.37102157102154,174.8472730972731,-9.47625152625156
5,1497,7,1.2063736263736262,168.19242979242978,174.8472730972731,-6.654843304843325
5,1473,8,1.187032967032967,165.24835164835164,174.8472730972731,-9.598921448921459
5,1463,9,1.1789743589743589,164.02165242165242,174.8472730972731,-10.825620675620684
5,1486,10,1.1975091575091574,166.84306064306065,174.8472730972731,-8.00421245421245
7,2007,1,1.6173626373626373,230.75409035409035,218.13135531135532,12.62273504273503
7,1978,2,1.593992673992674,227.19666259666258,218.13135531135532,9.065307285307256
7,1968,3,1.585934065934066,225.96996336996338,218.13135531135532,7.8386080586080595
7,1967,4,1.5851282051282052,225.84729344729348,218.13135531135532,7.71593813593816
7,1933,5,1.5577289377289376,221.6765160765161,218.13135531135532,3.545160765160773
7,1942,6,1.5649816849816849,222.78054538054536,218.13135531135532,4.649190069190041
7,1936,7,1.56014652014652,222.04452584452585,218.13135531135532,3.913170533170529
7,1919,8,1.5464468864468863,219.95913715913716,218.13135531135532,1.8277818477818357
7,1940,9,1.5633699633699631,222.5352055352055,218.13135531135532,4.403850223850185
7,1934,10,1.5585347985347984,221.79918599918597,218.13135531135532,3.6678306878306444
